distance,duration,departure_hour,id_agency,emission
604,744,19,1,14.0
604,767,19,1,14.0
533,485,21,2,11.4
533,472,23,2,11.4
513,560,23,2,11.0
513,491,23,2,11.0
425,383,22,2,9.0
425,375,23,2,9.0
444,405,23,2,9.1
444,420,22,2,9.1
539,555,23,2,11.0
539,522,21,2,11.0
605,685,18,2,12.4
605,675,20,2,12.4
915,940,17,3,18.8
915,806,19,3,18.8
870,866,18,5,21.5
870,927,19,5,21.5
606,912,15,5,15.5
606,779,21,5,15.5
451,552,21,5,9.9
451,535,21,5,9.9
493,590,21,5,10.3
493,616,20,5,10.3
758,829,21,5,14.8
758,832,16,5,14.8
606,550,22,5,13.0
606,565,20,5,13.0
405,400,22,5,9.8
405,393,22,5,9.8
711,812,18,5,17.1
711,898,17,5,17.1
849,1053,15,5,18.0
849,1015,14,5,18.0
604,696,23,5,14.0
604,701,17,5,14.0
459,524,21,5,9.5
459,517,21,5,9.5
526,454,20,5,12.7
526,466,23,5,12.7
877,625,21,6,18.1
877,617,21,6,18.1
839,765,21,6,18.8
839,730,19,6,18.8
914,690,21,6,18.9
914,675,20,6,18.9
644,465,23,6,14.7
644,455,23,6,14.7
645,465,23,6,14.6
645,455,23,6,14.6
852,923,18,7,16.2
852,923,19,7,16.2
1120,929,18,7,16.2
1120,974,17,7,16.2
1144,0,20,7,16.2
1144,0,20,7,16.2
1107,1054,17,7,16.2
1107,1060,17,7,16.2
1032,682,19,8,20.8
1147,770,20,8,23.0
1032,700,21,8,20.8
1147,792,20,8,23.0
1092,684,19,8,22.1
631,516,21,8,12.5
631,548,23,8,12.5
1092,585,21,8,22.1
711,708,18,8,15.3
711,680,22,8,15.3
647,475,22,8,12.7
647,492,23,8,12.7
1358,1009,21,8,25.7
1358,1096,15,8,25.7
962,820,20,8,17.9
1009,786,20,8,20.3
1009,747,20,8,20.3
962,768,20,8,17.9
867,750,18,8,17.7
867,788,20,8,17.7
820,765,20,8,16.5
820,728,19,8,16.5
820,749,23,8,16.5
867,850,20,8,17.7
867,777,23,8,17.7
820,726,21,8,16.5
489,485,23,10,10.0
489,443,21,10,10.0
700,834,16,11,6.5
700,840,21,11,6.5
677,845,18,11,6.5
677,878,21,11,6.5
995,731,19,12,17.0
995,738,20,12,17.0
1112,882,18,14,16.0
845,660,21,14,18.0
1112,840,20,14,16.0
845,664,21,14,18.0
1112,742,20,14,16.0
1168,883,18,14,12.8
1168,794,19,14,12.8
1112,810,19,14,16.0
1011,661,20,14,18.0
1011,741,21,14,18.0
672,731,17,18,11.8
672,762,21,18,11.8
602,722,19,21,3.9
602,651,22,21,3.9
1481,975,16,22,16.1
1481,968,21,22,16.1
567,517,22,23,12.0
567,567,22,23,12.0
811,841,20,23,18.0
811,842,19,23,18.0
851,959,19,23,19.4
851,954,15,23,19.4
669,786,20,23,16.2
669,785,19,23,16.2
1197,1013,18,25,22.9
1197,316,17,25,22.9
1484,1220,16,25,25.4
1484,1134,20,25,25.4
1465,1295,13,25,25.3
1465,1341,13,25,25.3
919,683,22,25,15.6
919,771,19,25,15.6
758,639,20,25,11.4
758,648,22,25,11.4
1171,1217,9,25,22.5
1171,1274,22,25,22.5
737,651,21,25,14.1
737,543,21,25,14.1
1503,1109,16,25,25.6
1503,1108,14,25,25.6
1337,1177,14,25,22.6
1337,1112,12,25,22.6
1400,1224,14,25,25.0
1400,1180,13,25,25.0
540,594,19,25,11.6
540,1415,23,25,11.6
1115,952,19,25,19.2
1115,957,15,25,19.2
540,638,21,25,11.6
540,722,20,25,11.6
876,727,20,25,15.4
876,801,19,25,15.4
1305,1198,19,25,20.9
1305,389,13,25,20.9
840,939,16,25,16.6
840,845,21,25,16.6
1029,1006,20,25,18.5
1029,1072,17,25,18.5
658,549,22,25,10.8
658,563,20,25,10.8
1238,1189,16,25,16.9
1238,1175,13,25,16.9
956,969,19,25,17.6
956,1013,15,25,17.6
702,613,21,25,12.6
702,593,20,25,12.6
700,535,20,25,12.9
700,648,22,25,12.9
754,676,21,25,9.4
754,711,21,25,9.4
917,980,20,25,15.2
917,1124,14,25,15.2
1073,440,14,25,20.6
1073,1136,17,25,20.6
1115,1087,22,25,19.2
1115,1155,10,25,19.2
867,887,19,25,16.66
867,990,18,25,16.66
935,1203,16,25,17.89
935,1063,17,25,17.89
488,428,21,25,7.7
488,419,23,25,7.7
865,929,17,25,20.8
865,962,19,25,20.8
1077,934,22,25,19.2
1077,892,15,25,19.2
922,999,17,25,15.4
922,1058,16,25,15.4
1209,1254,13,25,19.3
1209,1136,18,25,19.3
1110,1070,17,25,17.9
1110,1198,17,25,17.9
564,507,22,25,11.2
564,470,23,25,11.2
1160,1077,16,25,19.8
1160,1141,17,25,19.8
1036,1393,6,25,16.6
1036,2,19,25,16.6
653,525,22,25,10.1
653,585,22,25,10.1
653,813,19,25,10.1
653,777,19,25,10.1
1221,591,7,25,21.9
1221,548,22,25,21.9
899,862,16,26,12.1
899,759,21,26,12.1
983,801,19,26,13.8
983,855,19,26,13.8
899,755,17,26,12.1
899,710,23,26,12.1
899,840,17,26,11.3
899,879,20,26,11.3
989,871,20,26,13.9
989,892,19,26,13.9
529,462,21,30,4.7
529,514,22,30,4.7
745,735,19,30,12.6
745,733,22,30,12.6
931,1051,17,30,7.2
931,1014,15,30,7.2
